[22/09/2021, 07:43:53] Oggbot#1237 (780927367626752000) | MrMachineGuy#1812 (328247346557222913) > 786 | daily
[22/09/2021, 07:56:30] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 1,462 | daily
[22/09/2021, 08:14:50] Oggbot#1237 (780927367626752000) | skidmarks#8176 (404713115155038220) > 1,482 | daily
[22/09/2021, 16:06:38] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 1,868 | daily
[23/09/2021, 00:10:11] Oggbot#1237 (780927367626752000) | Commander Society#3190 (446027811426271232) > 663 | daily
[23/09/2021, 00:10:47] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 611 | daily
[23/09/2021, 00:11:15] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 656 | daily
[23/09/2021, 06:27:41] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 535 | daily
[23/09/2021, 06:48:36] Oggbot#1237 (780927367626752000) | MaxJWifi#8545 (690576690900107284) > 1,061 | daily
[23/09/2021, 07:15:58] Oggbot#1237 (780927367626752000) | jigglyhuff#5788 (500332880048947210) > 576 | daily
[23/09/2021, 07:22:10] Oggbot#1237 (780927367626752000) | josh.w_47#8361 (462709536076333058) > 1,306 | daily
[23/09/2021, 07:32:22] Oggbot#1237 (780927367626752000) | MrMachineGuy#1812 (328247346557222913) > 930 | daily
[23/09/2021, 07:49:32] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 2,214 | daily
[23/09/2021, 18:06:57] Oggbot#1237 (780927367626752000) | skidmarks#8176 (404713115155038220) > 1,870 | daily
[24/09/2021, 00:00:55] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 1,610 | daily
[24/09/2021, 00:31:03] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 581 | daily
[24/09/2021, 06:08:28] Oggbot#1237 (780927367626752000) | MaxJWifi#8545 (690576690900107284) > 605 | daily
[24/09/2021, 06:48:50] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 801 | daily
[24/09/2021, 07:12:20] Oggbot#1237 (780927367626752000) | beepboop#2925 (730582272029229196) > 1,310 | daily
[24/09/2021, 07:17:02] Oggbot#1237 (780927367626752000) | skidmarks#8176 (404713115155038220) > 1,372 | daily
[24/09/2021, 07:41:39] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 1,290 | daily
[24/09/2021, 07:46:04] Oggbot#1237 (780927367626752000) | MrMachineGuy#1812 (328247346557222913) > 2,331 | daily
[24/09/2021, 07:59:49] Oggbot#1237 (780927367626752000) | Commander Society#3190 (446027811426271232) > 1,134 | daily
[25/09/2021, 00:01:19] Oggbot#1237 (780927367626752000) | Commander Society#3190 (446027811426271232) > 1,444 | daily
[25/09/2021, 00:02:35] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 1,048 | daily
[25/09/2021, 00:31:02] Oggbot#1237 (780927367626752000) | MrMachineGuy#1812 (328247346557222913) > 1,017 | daily
